filename,filepath,latitude,longitude,datetime_taken,camera_make,camera_model,image_width,image_height
IMG_7278.HEIC,photos/Seth-iPhone/IMG_7278.HEIC,38.03615833333333,-78.502725,2025-07-20 09:51:28,Apple,iPhone 13 mini,4032,3024
IMG_1085.HEIC,photos/Seth-iPhone/IMG_1085.HEIC,38.03802777777778,-78.496575,2025-09-08 07:57:11,Apple,iPhone 16,3024,4032
IMG_5992.HEIC,photos/Seth-iPhone/IMG_5992.HEIC,38.03635833333333,-78.50374722222222,2025-05-22 08:56:03,Apple,iPhone 13 mini,3024,4032
IMG_7106.HEIC,photos/Seth-iPhone/IMG_7106.HEIC,33.85646111111111,-77.97985,2025-07-09 12:51:53,Apple,iPhone 13 mini,4032,3024
IMG_6202.HEIC,photos/Seth-iPhone/IMG_6202.HEIC,38.040530555555556,-78.48982222222223,2025-06-03 08:21:40,Apple,iPhone 13 mini,3024,4032
IMG_5711.HEIC,photos/Seth-iPhone/IMG_5711.HEIC,38.03505833333333,-78.50087777777777,2025-05-15 08:33:24,Apple,iPhone 13 mini,3024,4032
IMG_6428.HEIC,photos/Seth-iPhone/IMG_6428.HEIC,38.048288888888884,-78.47509722222222,2025-06-11 10:00:01,Apple,iPhone 13 mini,4032,3024
IMG_7281.HEIC,photos/Seth-iPhone/IMG_7281.HEIC,38.03578888888889,-78.50142777777778,2025-07-20 10:02:54,Apple,iPhone 13 mini,3024,4032
IMG_0817.HEIC,photos/Seth-iPhone/IMG_0817.HEIC,38.04248055555556,-78.49610833333334,2025-08-26 08:14:11,Apple,iPhone 16,3024,4032
IMG_7079.HEIC,photos/Seth-iPhone/IMG_7079.HEIC,33.85732222222222,-77.98026944444445,2025-07-09 10:39:21,Apple,iPhone 13 mini,3024,4032
IMG_7096.HEIC,photos/Seth-iPhone/IMG_7096.HEIC,33.855111111111114,-77.98201666666667,2025-07-09 12:37:30,Apple,iPhone 13 mini,4032,3024
IMG_6500.HEIC,photos/Seth-iPhone/IMG_6500.HEIC,38.03574722222222,-78.50276944444444,2025-06-13 10:30:04,Apple,iPhone 13 mini,3024,4032
IMG_6783.HEIC,photos/Seth-iPhone/IMG_6783.HEIC,38.03903611111111,-78.49650555555556,2025-06-27 10:34:20,Apple,iPhone 13 mini,4032,3024
IMG_0895.HEIC,photos/Seth-iPhone/IMG_0895.HEIC,38.04244722222222,-78.50566111111111,2025-08-29 08:36:13,Apple,iPhone 16,4284,5712
IMG_7080.HEIC,photos/Seth-iPhone/IMG_7080.HEIC,33.85381944444445,-77.97572222222223,2025-07-09 11:06:59,Apple,iPhone 13 mini,3024,4032
IMG_1123.HEIC,photos/Seth-iPhone/IMG_1123.HEIC,38.04054166666666,-78.49158611111112,2025-09-11 16:23:25,Apple,iPhone 16,4284,5712
IMG_5926.HEIC,photos/Seth-iPhone/IMG_5926.HEIC,38.04224444444444,-78.50244166666667,2025-05-20 08:30:28,Apple,iPhone 13 mini,3024,4032
IMG_5988.HEIC,photos/Seth-iPhone/IMG_5988.HEIC,38.03626666666666,-78.50431944444445,2025-05-22 08:54:56,Apple,iPhone 13 mini,3024,4032
IMG_5336.HEIC,photos/Seth-iPhone/IMG_5336.HEIC,38.03543611111111,-78.50203055555555,2025-05-05 08:45:36,Apple,iPhone 13 mini,4032,3024
IMG_6625.HEIC,photos/Seth-iPhone/IMG_6625.HEIC,38.03937777777777,-78.48351944444444,2025-06-17 10:58:54,Apple,iPhone 13 mini,3024,4032
IMG_7258.HEIC,photos/Seth-iPhone/IMG_7258.HEIC,38.02393055555555,-78.49765000000001,2025-07-18 11:59:25,Apple,iPhone 13 mini,3024,4032
IMG_0067.HEIC,photos/Seth-iPhone/IMG_0067.HEIC,43.638125,-79.44058333333334,2025-07-27 07:53:34,Apple,iPhone 16,4284,5712
IMG_0572.HEIC,photos/Seth-iPhone/IMG_0572.HEIC,38.041069444444446,-78.50363888888889,2025-08-19 08:27:18,Apple,iPhone 16,4284,5712
IMG_0898.HEIC,photos/Seth-iPhone/IMG_0898.HEIC,38.03909722222222,-78.50063333333334,2025-08-29 09:01:56,Apple,iPhone 16,4284,5712
IMG_7259.HEIC,photos/Seth-iPhone/IMG_7259.HEIC,38.02406666666666,-78.49750555555556,2025-07-18 11:59:35,Apple,iPhone 13 mini,3024,4032
IMG_0973.HEIC,photos/Seth-iPhone/IMG_0973.HEIC,38.024125,-78.49662777777777,2025-09-03 09:47:19,Apple,iPhone 16,5712,4284
IMG_0070.HEIC,photos/Seth-iPhone/IMG_0070.HEIC,43.63693611111111,-79.44236111111111,2025-07-27 07:59:51,Apple,iPhone 16,4284,5712
IMG_5931.HEIC,photos/Seth-iPhone/IMG_5931.HEIC,38.03960555555555,-78.498025,2025-05-20 08:45:24,Apple,iPhone 13 mini,3024,4032
IMG_1122.HEIC,photos/Seth-iPhone/IMG_1122.HEIC,38.04065277777777,-78.49159166666666,2025-09-11 16:22:38,Apple,iPhone 16,4032,3024
IMG_0894.HEIC,photos/Seth-iPhone/IMG_0894.HEIC,38.04238611111111,-78.50566944444445,2025-08-29 08:35:55,Apple,iPhone 16,4284,5712
IMG_7193.HEIC,photos/Seth-iPhone/IMG_7193.HEIC,38.012,-78.51473888888889,2025-07-16 09:11:55,Apple,iPhone 13 mini,4032,3024
IMG_6628.HEIC,photos/Seth-iPhone/IMG_6628.HEIC,38.04163055555556,-78.48585555555556,2025-06-17 11:16:36,Apple,iPhone 13 mini,4032,3024
IMG_6782.HEIC,photos/Seth-iPhone/IMG_6782.HEIC,38.038558333333334,-78.49513888888889,2025-06-27 10:31:14,Apple,iPhone 13 mini,4032,3024
IMG_7078.HEIC,photos/Seth-iPhone/IMG_7078.HEIC,33.85735833333334,-77.98032500000001,2025-07-09 10:39:12,Apple,iPhone 13 mini,4032,3024
IMG_6393.HEIC,photos/Seth-iPhone/IMG_6393.HEIC,38.04082222222222,-78.49195,2025-06-09 19:58:19,Apple,iPhone 13 mini,3024,4032
IMG_0302.HEIC,photos/Seth-iPhone/IMG_0302.HEIC,39.20551666666667,-78.355025,2025-08-06 10:26:41,Apple,iPhone 16,5712,4284
IMG_6612.HEIC,photos/Seth-iPhone/IMG_6612.HEIC,38.04196944444444,-78.50075555555556,2025-06-16 18:41:57,Apple,iPhone 13 mini,3024,4032
IMG_5993.HEIC,photos/Seth-iPhone/IMG_5993.HEIC,38.03635277777778,-78.50373888888889,2025-05-22 08:56:07,Apple,iPhone 13 mini,4032,3024
IMG_6203.HEIC,photos/Seth-iPhone/IMG_6203.HEIC,38.0405,-78.48970833333334,2025-06-03 08:21:47,Apple,iPhone 13 mini,3788,7036
IMG_5356.HEIC,photos/Seth-iPhone/IMG_5356.HEIC,38.02396111111111,-78.49684166666667,2025-05-06 10:58:43,Apple,iPhone 13 mini,4032,3024
IMG_7279.HEIC,photos/Seth-iPhone/IMG_7279.HEIC,38.03595833333333,-78.50253333333333,2025-07-20 09:52:00,Apple,iPhone 13 mini,4032,3024
IMG_5424.HEIC,photos/Seth-iPhone/IMG_5424.HEIC,38.04029444444444,-78.498475,2025-05-09 08:00:00,Apple,iPhone 13 mini,3024,4032
IMG_6662.HEIC,photos/Seth-iPhone/IMG_6662.HEIC,38.04129722222222,-78.73293333333334,2025-06-19 11:23:34,Apple,iPhone 13 mini,3024,4032
IMG_5367.HEIC,photos/Seth-iPhone/IMG_5367.HEIC,37.92756388888888,-79.45693333333334,2025-05-07 10:14:42,Apple,iPhone 13 mini,4032,3024
IMG_6635.HEIC,photos/Seth-iPhone/IMG_6635.HEIC,38.04371944444444,-78.4906,2025-06-17 11:49:37,Apple,iPhone 13 mini,3024,4032
IMG_6770.HEIC,photos/Seth-iPhone/IMG_6770.HEIC,38.05083055555555,-78.47666944444444,2025-06-25 11:05:50,Apple,iPhone 13 mini,3024,4032
IMG_0974.HEIC,photos/Seth-iPhone/IMG_0974.HEIC,38.02411388888889,-78.49658333333333,2025-09-03 09:47:31,Apple,iPhone 16,3024,4032
